Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_list_price,Item_sale_price,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,average_product_rating,total_number_reviews,Scaled_Reviews,Comments,Item_Outlet_Sales,,,,New Metrics Track
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,45.5086,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,2,200,,178.4344,,,,
FDC14,,Regular,0.072221801,Canned,43.6454,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,,0,,125.8362,,,,
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,55.7956,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,,0,,163.7868,,,,
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.7 out of 5,7,700,,2741.7644,,,,
FDP33,18.7,Low Fat,0,Snack Foods,256.6672,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.7 out of 5,7,700,,3068.0064,,,,
FDO23,17.85,Low Fat,0,Breads,93.1436,93.1436,OUT045,2002,,Tier 2,Supermarket Type1,4.7 out of 5,7,700,,2174.5028,,,,
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,4.7 out of 5,7,700,,2085.2856,,,,
NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7102,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.7 out of 5,7,700,,3791.0652,,,,
FDV20,,Regular,0.059511812,Fruits and Vegetables,128.0678,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.7 out of 5,7,700,,2797.6916,,,,
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,5 out of 5,2,200,,1609.9044,,,,
FDX10,,Regular,0.123111453,Snack Foods,36.9874,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,,0,,388.1614,,,,
FDB34,,Low Fat,0.026480954,Snack Foods,87.6198,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,4,400,,2180.495,,,,
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,,0,,3435.528,,,,
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,4 out of 5,4,400,,2150.534,,,,
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,4 out of 5,4,400,,2527.3768,,,,
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,5 out of 5,,0,,6768.5228,,,,
FDL50,12.15,Regular,0.042277867,Canned,126.5046,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,,0,,373.5138,,,,
FDM39,6.42,LF,0.089498926,Dairy,178.1002,178.1002,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,,0,,358.2004,,,,
NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,153.3024,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,,0,,2428.8384,,,,
FDV49,10,Low Fat,0.025879577,Canned,265.2226,265.2226,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,,0,,5815.0972,,,,
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,,0,,2576.646,,,,
FDS02,,Regular,0.255394896,Dairy,196.8794,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,,0,,780.3176,,,,
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,,0,,3134.5864,,,,
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,,0,,850.8924,,,,
FDR13,9.895,Regular,0.028696932,Canned,117.0492,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,810.9444,,,,
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,196.3794,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,3121.2704,,,,
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,151.4708,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,4815.0656,,,,
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,6258.52,,,,
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,106.1622,OUT045,2002,,Tier 2,Supermarket Type1,4.1 out of 5,7,700,,2117.244,,,,
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.1 out of 5,7,700,,796.9626,,,,
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,,0,,4910.275,,,,
FDI26,,Low Fat,0.061082177,Canned,180.0344,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,,0,,892.172,,,,
FDM20,10,Low Fat,0,Fruits and Vegetables,246.9144,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,5 out of 5,,0,,3185.1872,,,,
FDV27,7.97,Regular,0.040071131,Meat,87.3514,87.3514,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,,0,,1062.6168,,,,
FDF09,,Low Fat,0.012090074,Fruits and Vegetables,38.2848,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,,0,,484.7024,,,,
FDY40,,Regular,0.15028599,Frozen Foods,51.0692,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,,0,,147.8076,,,,
FDY45,,Low Fat,0.026015519,Snack Foods,255.8356,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,,0,,2543.356,,,,
FDC46,17.7,LF,0.195068226,Snack Foods,185.4266,185.4266,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,,0,,184.4266,,,,
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,5 out of 5,,0,,4865.6664,,,,
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,186.024,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,,0,,1118.544,,,,
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,164.8526,OUT045,2002,,Tier 2,Supermarket Type1,3.5 out of 5,2,200,,2302.3364,,,,
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,3.5 out of 5,2,200,,2027.361,,,,
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3 out of 5,,0,,3435.528,,,,
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,4.3 out of 5,4,400,,599.22,,,,
FDH35,18.25,Low Fat,0,Starchy Foods,164.7526,164.7526,OUT045,2002,,Tier 2,Supermarket Type1,4.3 out of 5,4,400,,4604.6728,,,,
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,189.6188,OUT017,2007,,Tier 2,Supermarket Type1,4.3 out of 5,4,400,,2285.0256,,,,
NCZ18,7.825,low fat,0.186357148,Household,254.3698,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,5580.7356,,,,
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,3,300,,2290.352,,,,
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,5 out of 5,,0,,1207.0954,,,,
FDN48,,Low Fat,0.113720344,Baking Goods,89.9804,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,5 out of 5,,0,,643.1628,,,,
FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,104.9622,OUT017,2007,,Tier 2,Supermarket Type1,4.6 out of 5,12,1200,,1587.933,,,,
FDV25,5.905,Low Fat,0,Canned,222.5456,222.5456,OUT045,2002,,Tier 2,Supermarket Type1,4.7 out of 5,15,1500,,5305.0944,,,,
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,4.7 out of 5,15,1500,,1697.79,,,,
FDN04,11.8,reg,0.014087057,Frozen Foods,180.3344,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,4.8 out of 5,31,3100,,1427.4752,,,,
FDV45,16.75,low fat,0.045230944,Snack Foods,187.9556,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.8 out of 5,31,3100,,4693.89,,,,
NCL18,,Low Fat,0.293417759,Household,194.6136,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,4.8 out of 5,31,3100,,583.2408,,,,
FDR12,,Regular,0.031382044,Baking Goods,171.3764,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.6 out of 5,15,1500,,3091.9752,,,,
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,177.0028,OUT017,2007,,Tier 2,Supermarket Type1,4.7 out of 5,26,2600,,2479.4392,,,,
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,4.7 out of 5,11,1100,,2716.464,,,,
FDQ49,,Regular,0.039057677,Breakfast,155.963,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.7 out of 5,13,1300,,3285.723,,,,
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,4.8 out of 5,6,600,,661.8052,,,,
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.3 out of 5,28,2800,,1523.3504,,,,
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,122.173,OUT010,1998,,Tier 3,Grocery Store,4.3 out of 5,28,2800,,369.519,,,,
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.3 out of 5,28,2800,,690.4346,,,,
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,55.1614,OUT045,2002,,Tier 2,Supermarket Type1,4.8 out of 5,4,400,,1381.535,,,,
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,4.8 out of 5,4,400,,622.523,,,,
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,4.4 out of 5,23,2300,,1274.3412,,,,
FDU04,,Low Fat,0.009714595,Frozen Foods,120.0414,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,4.4 out of 5,23,2300,,487.3656,,,,
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.4 out of 5,23,2300,,1231.73,,,,
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,4.4 out of 5,23,2300,,3755.112,,,,
NCP18,,Low Fat,0.028459761,Household,149.9708,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,5 out of 5,,0,,4363.6532,,,,
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,3,300,,1314.2892,,,,
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,151.0708,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,3,300,,1805.6496,,,,
FDD10,,Regular,0.045797829,Snack Foods,178.5344,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.3 out of 5,23,2300,,2854.9504,,,,
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.3 out of 5,23,2300,,3896.2616,,,,
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,4.6 out of 5,18,1800,,667.7974,,,,
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.6 out of 5,18,1800,,3185.853,,,,
FDH14,17.1,Regular,0.0467696,Canned,141.1838,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,4,400,,2247.7408,,,,
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,4.9 out of 5,10,1000,,1794.331,,,,
FDG12,6.635,Regular,0,Baking Goods,121.3098,121.3098,OUT045,2002,,Tier 2,Supermarket Type1,4.9 out of 5,10,1000,,2530.7058,,,,
DRE60,,low fat,0.278974075,Soft Drinks,225.372,225.372,OUT019,1985,Small,Tier 1,Grocery Store,4.9 out of 5,10,1000,,679.116,,,,
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,4.9 out of 5,10,1000,,812.276,,,,
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,4 out of 5,,0,,699.09,,,,
FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,102.4016,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,2732.4432,,,,
FDW39,,Regular,0.064625342,Meat,176.937,176.937,OUT019,1985,Small,Tier 1,Grocery Store,4.9 out of 5,10,1000,,176.437,,,,
FDX34,,Low Fat,0.071636937,Snack Foods,121.7098,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4.3 out of 5,6,600,,4097.3332,,,,
FDV11,9.1,Regular,0,Breads,173.2054,173.2054,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,,0,,3151.8972,,,,
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,2 out of 5,,0,,5942.265,,,,
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,192.4478,OUT017,2007,,Tier 2,Supermarket Type1,2 out of 5,,0,,4843.695,,,,
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,5 out of 5,4,400,,2542.0244,,,,
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,140.3154,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,,0,,2552.6772,,,,
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,5 out of 5,4,400,,1141.847,,,,
NCF19,13,Low Fat,0.035307322,Household,47.5034,47.5034,OUT017,2007,,Tier 2,Supermarket Type1,3.4 out of 5,7,700,,680.4476,,,,
DRJ13,12.65,LF,0.063017847,Soft Drinks,159.0578,159.0578,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,4,400,,2085.9514,,,,
FDB14,20.25,Regular,0.171938781,Canned,92.512,92.512,OUT010,1998,,Tier 3,Grocery Store,5 out of 5,4,400,,186.424,,,,
FDJ38,8.6,Regular,0.040197932,Canned,190.153,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,3036.048,,,,
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,62.7194,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,866.8716,,,,
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,868.869,,,,
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,4.2 out of 5,5,500,,1137.1864,,,,
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,52.7956,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,928.1252,,,,
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,762.341,,,,
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,40.2822,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,707.0796,,,,
FDY25,,Low Fat,0.033809913,Canned,180.5976,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,7968.2944,,,,
NCH54,13.5,Low Fat,0.07266912,Household,160.292,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,1438.128,,,,
NCR53,,Low Fat,0.144338493,Health and Hygiene,224.4404,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,6976.2524,,,,
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,101.7016,OUT010,1998,,Tier 3,Grocery Store,,,0,,101.2016,,,,
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,952.094,,,,
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,1969.4364,,,,
FDH35,,Low Fat,0.059956876,Starchy Foods,165.4526,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,5262.4832,,,,
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,60.5852,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,1314.2892,,,,
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,90.8172,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,535.3032,,,,
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,132.1284,OUT010,1998,,Tier 3,Grocery Store,,,0,,263.6568,,,,
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1402.1748,,,,
NCX54,9.195,Low Fat,0.048331717,Household,105.1622,105.1622,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1693.7952,,,,
NCO55,12.8,Low Fat,0.091221855,Others,105.5938,105.5938,OUT045,2002,,Tier 2,Supermarket Type1,,,0,,2143.876,,,,
NCC30,16.6,Low Fat,0.027622076,Household,177.6344,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,2676.516,,,,
FDI16,14,Regular,0,Frozen Foods,53.064,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,905.488,,,,
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,7370.406,,,,
FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8404,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,6301.1312,,,,
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1597.92,,,,
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,529.311,,,,
NCO26,7.235,Low Fat,0.076841095,Household,117.5492,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,5 out of 5,2,200,,1969.4364,,,,
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,50.3692,OUT017,2007,,Tier 2,Supermarket Type1,,,0,,1034.6532,,,,
FDR28,13.85,reg,0.026001976,Frozen Foods,161.521,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,1794.331,,,,
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.7 out of 5,19,1900,,2768.3964,,,,
DRK12,,Low Fat,0.041683481,Soft Drinks,31.29,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,898.83,,,,
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,3169.208,,,,
NCI18,18.35,Low Fat,0.014081156,Household,223.5746,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,3589.9936,,,,
FDB36,5.465,Regular,0,Baking Goods,132.5626,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,262.3252,,,,
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,99.8358,OUT017,2007,,Tier 2,Supermarket Type1,4.8 out of 5,129,12900,,1910.1802,,,,
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,140.9154,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,3,300,,1701.7848,,,,
FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,2471.4496,,,,
FDM22,14,Regular,0.04192285,Snack Foods,54.764,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,1331.6,,,,
FDR07,,Low Fat,0.077367431,Fruits and Vegetables,97.0094,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,1808.9786,,,,
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,3315.684,,,,
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,4.3 out of 5,7,700,,2618.5914,,,,
FDW51,6.155,Regular,0.094659871,Meat,214.556,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,2769.728,,,,
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,233.4958,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,1,100,,5375.0034,,,,
